"student_id","student_name","first_choice","second_choice","third_choice","tie_breaker"
"S001","Hannah","C020","C044","C013",0.0874942244435661
"S002","Lina","C049","C044","C030",0.0292896420122124
"S003","Ben","C042","C032","C046",0.0309006057735533
"S004","Mila","C037","C044","C029",0.0809783071335405
"S005","Lukas","C042","C031","C021",0.0585150638525374
"S006","Leon","C045","C046","C002",0.0659483040161431
"S007","Hannah","C007","C018","C038",0.0641530066239648
"S008","Johanna","C014","C003","C020",0.0233704365058802
"S009","Clara","C036","C033","C030",0.0607720794049092
"S010","Sofia","C026","C044","C020",0.0486616774634458
"S011","Lina","C039","C026","C020",0.057841875278391
"S012","Elias","C006","C039","C032",0.0806418569954112
"S013","Mila","C037","C031","C020",0.0494918976416811
"S014","Jonas","C032","C002","C042",0.00903925685863942
"S015","Johanna","C014","C049","C027",0.0464523926326074
"S016","Max","C032","C002","C042",0.0596404343727045
"S017","Mila","C029","C034","C014",0.0905600840095431
"S018","Emilia","C021","C016","C020",0.00570642760721967
"S019","Max","C002","C042","C033",0.0811733477623202
"S020","Clara","C018","C016","C044",0.00958919305447489
"S021","Leon","C038","C021","C005",0.0275548584493808
"S022","Elias","C004","C036","C020",0.0840463869241066
"S023","Noah","C033","C042","C034",0.0910334398667328
"S024","Lukas","C037","C029","C004",0.0090400640014559
"S025","Johanna","C037","C018","C044",0.0556413667509332
"S026","Marie","C014","C006","C037",0.00518745862040669
"S027","Nele","C026","C027","C020",0.0265671323160641
"S028","Lina","C026","C033","C044",0.0194204962360673
"S029","Tim","C031","C034","C035",0.0566068832455203
"S030","Julian","C032","C023","C031",0.00743678694404662
"S031","Elias","C017","C032","C006",0.0438797576567158
"S032","Emilia","C007","C014","C033",0.0552040480384603
"S033","Mila","C026","C037","C020",0.0539396777777001
"S034","Moritz","C042","C050","C019",0.0259402874847874
"S035","Moritz","C004","C034","C033",0.0171875148476101
"S036","Finn","C002","C005","C034",0.0723225456289947
"S037","Luis","C047","C004","C042",0.0212034703139216
"S038","Clara","C009","C020","C039",0.0584736215616576
"S039","Clara","C007","C026","C033",0.0905275058005937
"S040","Mila","C030","C026","C037",0.0212827268601395
"S041","Tim","C024","C042","C046",0.0825180814187042
"S042","Luis","C006","C023","C031",0.0312730571418069
"S043","Moritz","C042","C004","C046",0.0194654031214304
"S044","Johanna","C029","C030","C020",0.0518565823128447
"S045","Nele","C014","C037","C033",0.0190354908010922
"S046","Johanna","C034","C039","C037",0.022979254628066
"S047","Johanna","C030","C020","C021",0.0948434132346883
"S048","Noah","C050","C002","C024",0.0199252047794871
"S049","Luis","C002","C019","C017",0.0962434239438735
"S050","Lukas","C041","C004","C003",0.092210774352774
"S051","Felix","C032","C019","C029",0.0224166981950402
"S052","Lea","C020","C037","C033",0.0362066818298772
"S053","Paul","C040","C034","C031",0.0104477902101353
"S054","Ben","C029","C047","C031",0.085996140953619
"S055","Sofia","C018","C007","C014",0.0985735397930257
"S056","Marie","C030","C033","C037",0.0570671871830709
"S057","Felix","C031","C004","C021",0.0588993732426316
"S058","Paul","C009","C025","C041",0.0696325084744021
